delay,condition,textbox.text,,,,0.1,0.4,0.7,average
0.4,exp,843,,,,,,,
0.4,exp,632,,,,,,,
0.4,exp,843,,,,,,,
0.4,exp,648,,,,,,,
0.4,exp,867,,,,,,,
0.4,exp,749,,,,,,,
0.4,exp,827,,,,,,,
0.4,exp,829,,,,,,,
0.4,exp,877,,,,,,,
0.4,exp,177,,,,,,,
0.4,exp,811,,,,,,,
0.4,exp,213,,,,,,,
0.4,exp,783,,,,,,,
0.4,exp,757,,,,,,,
0.4,exp,563,,,,,,,
0.4,exp,800,,,,,,,
0.4,exp,688,,,,,,,
0.4,exp,399,,,,,,,
0.4,exp,382,,,,,,,
0.4,exp,400,,,,,,,
0.4,exp,700,,,,,,,
0.4,exp,543,,,,,,,
0.4,exp,765,,,,,,,
0.4,exp,488,,,,,,,
0.4,exp,123,,,,,,,
0.4,exp,505,,,,,,,
0.4,exp,290,,,,,,,
0.4,exp,500,,,,,,,
0.4,exp,598,,,,,,,
0.4,exp,709,,,,,,,
0.4,exp,898,,,,,,,
0.4,exp,890,,,,,,,
0.4,exp,233,,,,,,,
0.4,exp,464,,,,,,,
0.4,exp,234,,,,,,,
0.4,exp,289,,,,,,,
0.4,exp,50,,,,,,,
0.4,exp,340,,,,,,,
0.4,exp,320,,,,,,,
0.4,exp,904,,,,,,,
0.4,exp,679,,,,,,,
0.4,exp,678,,,,,,,
0.4,exp,768,,,,,,,
0.4,exp,234,,,,,,,
0.4,exp,457,,,,,,,
0.4,exp,420,,,,,,,
0.4,exp,500,,,,,,,
0.4,exp,679,,,,,,,
0.4,exp,600,,,,,,,
0.4,exp,349,,,,,,,
0.4,exp,569,,,,,,,
0.4,exp,600,,,,,,,
0.4,exp,430,,,,,,,
0.4,exp,489,,,,,,,
0.4,exp,670,,,,,,,
0.4,exp,450,,,,,,,
0.4,exp,540,,,,,,,
0.4,exp,400,,,,,,,
0.4,unexp,345,,,,,,,
0.4,unexp,609,,,,,,,
0.4,unexp,422,,,,,,,
0.4,unexp,455,,,,,,,
0.4,unexp,253,,,,,,,
0.4,unexp,241,,,,,,,
0.4,unexp,281,,,,,,,
0.4,unexp,153,,,,,,,
0.4,unexp,146,,,,,,,
0.4,unexp,173,,,,,,,
0.4,unexp,432,,,,,,,
0.4,unexp,312,,,,,,,
0.4,unexp,231,,,,,,,
0.4,unexp,318,,,,,,,
0.4,unexp,560,,,,,,,
0.4,unexp,677,,,,,,,
0.4,unexp,340,,,,,,,
0.4,unexp,219,,,,,,,
0.4,unexp,410,,,,,,,
0.4,unexp,576,,,,,,,
0.4,unexp,499,,,,,,,
0.4,unexp,768,,,,,,,
0.4,unexp,450,,,,,,,
0.4,unexp,212,,,,,,,
0.4,unexp,700,,,,,,,
0.7,exp,458,,,,,,,
0.7,exp,569,,,,,,,
0.7,exp,789,,,,,,,
0.7,exp,890,,,,,,,
0.7,exp,658,,,,,,,
0.7,exp,546,,,,,,,
0.7,exp,689,,,,,,,
0.7,exp,324,,,,,,,
0.7,exp,433,,,,,,,
0.7,exp,345,,,,,,,
0.7,exp,233,,,,,,,
0.7,exp,566,,,,,,,
0.7,exp,611,,,,,,,
0.7,exp,400,,,,,,,
0.7,exp,211,,,,,,,
0.7,exp,896,,,,,,,
0.7,exp,678,,,,,,,
0.7,exp,589,,,,,,,
0.7,exp,666,,,,,,,
0.7,exp,789,,,,,,,
0.7,exp,674,,,,,,,
0.7,exp,947,,,,,,,
0.7,exp,785,,,,,,,
0.7,exp,836,,,,,,,
0.7,exp,738,,,,,,,
0.7,exp,973,,,,,,,
0.7,exp,796,,,,,,,
0.7,exp,472,,,,,,,
0.7,exp,527,,,,,,,
0.7,exp,632,,,,,,,
0.7,exp,478,,,,,,,
0.7,exp,544,,,,,,,
0.7,exp,563,,,,,,,
0.7,exp,592,,,,,,,
0.7,exp,245,,,,,,,
0.7,exp,472,,,,,,,
0.7,exp,947,,,,,,,
0.7,exp,849,,,,,,,
0.7,exp,829,,,,,,,
0.7,exp,927,,,,,,,
0.7,exp,739,,,,,,,
0.7,exp,945,,,,,,,
0.7,exp,739,,,,,,,
0.7,exp,927,,,,,,,
0.7,exp,745,,,,,,,
0.7,exp,436,,,,,,,
0.7,exp,898,,,,,,,
0.7,exp,638,,,,,,,
0.7,exp,836,,,,,,,
0.7,exp,688,,,,,,,
0.7,exp,566,,,,,,,
0.7,exp,478,,,,,,,
0.7,exp,789,,,,,,,
0.7,exp,413,,,,,,,
0.7,exp,390,,,,,,,
0.7,exp,877,,,,,,,
0.7,exp,327,,,,,,,
0.7,exp,600,,,,,,,
