word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0027251001447439194,0.0062998998910188675,1.0186092983931303,0.9936950989067554,,,,,,,,,,,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,0,0,0,r,1,0.7498630993068218,None,0,0,0,0,1.0186092983931303,,,,,,1.014538899064064,1.0186092983931303,1.5097957998514175,1.5097957998514175,1.5097957998514175,2.2725916001945734,r,1,0.7498630993068218,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,1,1,0,r,1,0.8352738004177809,None,0,1,1,2,2.2842920999974012,,,,,,2.2814996987581253,2.2842920999974012,2.777404699474573,2.777404699474573,2.777404699474573,3.629329700022936,r,1,0.8352738004177809,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,2,2,0,b,1,0.6726651005446911,None,0,2,2,1,3.6440520994365215,,,,,,3.635385598987341,3.6440520994365215,4.144376998767257,4.144376998767257,4.144376998767257,4.827850399538875,b,1,0.6726651005446911,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.5353174991905689,None,0,3,3,3,4.8438906986266375,,,,,,4.831490200012922,4.8438906986266375,5.3280199989676476,5.3280199989676476,5.3280199989676476,5.8791913986206055,b,1,0.5353174991905689,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,4,0,1,b,1,0.5418616998940706,None,1,0,4,3,5.894547399133444,,,,,,5.879967300221324,5.894547399133444,6.3945700991898775,6.3945700991898775,6.3945700991898775,6.945738699287176,b,1,0.5418616998940706,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,5,1,1,r,1,0.4959957003593445,None,1,1,5,2,6.961254199966788,,,,,,6.946853399276733,6.961254199966788,7.460953099653125,7.460953099653125,7.460953099653125,7.96203569881618,r,1,0.4959957003593445,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,6,2,1,r,1,0.4065275005996227,None,1,2,6,0,7.978060198947787,,,,,,7.965150298550725,7.978060198947787,8.461633298546076,8.461633298546076,8.461633298546076,8.878763699904084,r,1,0.4065275005996227,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,7,3,1,b,1,0.684459999203682,None,1,3,7,1,8.894784299656749,,,,,,8.879560798406601,8.894784299656749,9.378247098997235,9.378247098997235,9.378247098997235,10.063916699960828,b,1,0.684459999203682,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.5356131996959448,None,2,0,8,3,10.07842249982059,,,,,,10.06976529955864,10.07842249982059,10.578561699017882,10.578561699017882,10.578561699017882,11.129381099715829,b,1,0.5356131996959448,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,9,1,2,r,1,0.545966200530529,None,2,1,9,2,11.1453243996948,,,,,,11.130363699048758,11.1453243996948,11.628990499302745,11.628990499302745,11.628990499302745,12.179291099309921,r,1,0.545966200530529,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,10,2,2,r,1,0.43814839981496334,None,2,2,10,0,12.195426300168037,,,,,,12.183135399594903,12.195426300168037,12.678775399923325,12.678775399923325,12.678775399923325,13.130674799904227,r,1,0.43814839981496334,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,11,3,2,b,1,0.6015942003577948,None,2,3,11,1,13.145695200189948,,,,,,13.132112499326468,13.145695200189948,13.64547530002892,13.64547530002892,13.64547530002892,14.263234298676252,b,1,0.6015942003577948,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,12,0,3,b,1,0.4304159991443157,None,3,0,12,1,14.279406199231744,,,,,,14.26405879855156,14.279406199231744,14.762917298823595,14.762917298823595,14.762917298823595,15.196947898715734,b,1,0.4304159991443157,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,13,1,3,r,1,0.4662120994180441,None,3,1,13,2,15.212638398632407,,,,,,15.2023637983948,15.212638398632407,15.696164298802614,15.696164298802614,15.696164298802614,16.16441759839654,r,1,0.4662120994180441,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
