word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
BLUE,blue,C,b,14,2,3,b,1,0.6922002006322145,None,3,2,14,3,16.17957459948957,,,,,,16.16571829840541,16.17957459948957,16.66327689960599,16.66327689960599,16.66327689960599,17.36459599994123,b,1,0.6922002006322145,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,15,3,3,r,1,0.6023034993559122,None,3,3,15,0,17.380054598674178,,,,,,17.36988839879632,17.380054598674178,17.863487899303436,17.863487899303436,17.863487899303436,18.481664000079036,r,1,0.6023034993559122,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,16,0,4,r,1,0.5025229007005692,None,4,0,16,0,18.497084198519588,,,,,,18.48292350023985,18.497084198519588,18.99667289853096,18.99667289853096,18.99667289853096,19.514283498749137,r,1,0.5025229007005692,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,17,1,4,b,1,0.6157412994652987,None,4,1,17,1,19.530273899435997,,,,,,19.515167400240898,19.530273899435997,20.01360759884119,20.01360759884119,20.01360759884119,20.632232500240207,b,1,0.6157412994652987,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,18,2,4,r,1,0.6862810999155045,None,4,2,18,2,20.647437699139118,,,,,,20.63953199982643,20.647437699139118,21.14729609899223,21.14729609899223,21.14729609899223,21.848528400063515,r,1,0.6862810999155045,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,19,3,4,b,1,0.8607013989239931,None,4,3,19,3,21.86425419896841,,,,,,21.84946409985423,21.86425419896841,22.34769469872117,22.34769469872117,22.34769469872117,23.214792098850012,b,1,0.8607013989239931,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,20,0,5,b,1,0.43888190016150475,None,5,0,20,3,23.23084620013833,,,,,,23.215483298525214,23.23084620013833,23.714433999732137,23.714433999732137,23.714433999732137,24.1652496997267,b,1,0.43888190016150475,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,21,1,5,r,1,0.49528160132467747,None,5,1,21,2,24.18085669912398,,,,,,24.166122598573565,24.18085669912398,24.664792198687792,24.664792198687792,24.664792198687792,25.16652959957719,r,1,0.49528160132467747,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,22,2,5,b,1,0.557268301025033,None,5,2,22,1,25.180977599695325,,,,,,25.17196549847722,25.180977599695325,25.681182499974966,25.681182499974966,25.681182499974966,26.24901570007205,b,1,0.557268301025033,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,23,3,5,r,1,0.4648479986935854,None,5,3,23,0,26.26838759891689,,,,,,26.24979079887271,26.26838759891689,26.74834129959345,26.74834129959345,26.74834129959345,27.21615169942379,r,1,0.4648479986935854,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,24,0,6,r,1,0.43265620060265064,None,6,0,24,0,27.231191899627447,,,,,,27.217459298670292,27.231191899627447,27.7316605001688,27.7316605001688,27.7316605001688,28.16757749952376,r,1,0.43265620060265064,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,25,1,6,b,1,0.5428190995007753,None,6,1,25,3,28.181695099920034,,,,,,28.172571199014783,28.181695099920034,28.681574599817395,28.681574599817395,28.681574599817395,29.233389299362898,b,1,0.5428190995007753,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,26,2,6,r,1,0.43566669896245,None,6,2,26,2,29.24893429875374,,,,,,29.234152399003506,29.24893429875374,29.748781099915504,29.748781099915504,29.748781099915504,30.199641298502684,r,1,0.43566669896245,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,27,3,6,b,1,1.1076359003782272,None,6,3,27,1,30.21553499996662,,,,,,30.203839099034667,30.21553499996662,30.699349999427795,30.699349999427795,30.699349999427795,31.816358299925923,b,1,1.1076359003782272,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,28,0,7,b,1,0.6247847005724907,None,7,0,28,3,31.832344999536872,,,,,,31.820375699549913,31.832344999536872,32.31612239964306,32.31612239964306,32.31612239964306,32.95093949884176,b,1,0.6247847005724907,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,29,1,7,r,1,0.5284999012947083,None,7,1,29,2,32.96600999869406,,,,,,32.95235209912062,32.96600999869406,33.466006100177765,33.466006100177765,33.466006100177765,34.00186179950833,r,1,0.5284999012947083,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,30,2,7,r,1,0.7202853001654148,None,7,2,30,0,34.016422498971224,,,,,,34.008257798850536,34.016422498971224,34.51644599996507,34.51644599996507,34.51644599996507,35.24985069967806,r,1,0.7202853001654148,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,31,3,7,b,1,0.44924210011959076,None,7,3,31,1,35.26668250001967,,,,,,35.25063589960337,35.26668250001967,35.74979589879513,35.74979589879513,35.74979589879513,36.20134859904647,b,1,0.44924210011959076,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,32,0,8,r,1,0.5564350001513958,None,8,0,32,0,36.21669670008123,,,,,,36.20251209847629,36.21669670008123,36.71659789979458,36.71659789979458,36.71659789979458,37.28374359942973,r,1,0.5564350001513958,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,33,1,8,r,1,0.6650534011423588,None,8,1,33,2,37.30000519938767,,,,,,37.28780669905245,37.30000519938767,37.783319000154734,37.783319000154734,37.783319000154734,38.45156039856374,r,1,0.6650534011423588,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,34,2,8,b,1,0.7372325006872416,None,8,2,34,1,38.46729479916394,,,,,,38.45666280016303,38.46729479916394,38.96704359911382,38.96704359911382,38.96704359911382,39.71905109845102,b,1,0.7372325006872416,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,35,3,8,b,1,0.434867100790143,None,8,3,35,3,39.73387049883604,,,,,,39.724101999774575,39.73387049883604,40.234057599678636,40.234057599678636,40.234057599678636,40.684714598581195,b,1,0.434867100790143,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,blue,C,b,36,0,9,b,1,0.3798956014215946,None,9,0,36,3,40.70122609846294,,,,,,40.68543849885464,40.70122609846294,41.18412079848349,41.18412079848349,41.18412079848349,41.56930119916797,b,1,0.3798956014215946,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,blue,I,b,37,1,9,b,1,0.3989664986729622,None,9,1,37,1,41.584336100146174,,,,,,41.575312700122595,41.584336100146174,42.08405399881303,42.08405399881303,42.08405399881303,42.48588109947741,b,1,0.3989664986729622,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
BLUE,red,I,r,38,2,9,r,1,0.45931850001215935,None,9,2,38,2,42.501172699034214,,,,,,42.490735398605466,42.501172699034214,43.001144498586655,43.001144498586655,43.001144498586655,43.4695314001292,r,1,0.45931850001215935,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
RED,red,C,r,39,3,9,r,1,0.42121309973299503,None,9,3,39,0,43.562459498643875,,,,,,43.55830899998546,43.562459498643875,43.98522099852562,43.98522099852562,43.98522099852562,44.41868309862912,r,1,0.42121309973299503,None,,,,,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.41888729855418,44.43457889929414,45.43502439931035,45.418766498565674,3,001,2025-08-26_16h26.46.344,stroop,,2025.1.1,59.970914373761715,2025-08-26 16h26.51.595565 +0530,
